IP,speed1,speed2,speed3
172.16.248.2,34.292,2.204,1.628
128.122.1.65,1.658,1.642,1.582
128.122.1.4,2.656,3.575,2.100
192.168.184.228,2.880,3.508,2.854
128.122.254.114,2.339,2.145,2.184
192.168.184.221,3.060,3.038,4.781
192.76.177.202,3.045,2.378,2.562
128.122.254.109,4.526,3.487,3.818
128.122.254.72,2.601,3.103,2.883
4.15.212.94,6.253,4.696,5.248
31.13.25.67,3.358
31.13.26.17,3.878,3.892
173.252.67.111,3.560
173.252.67.169,3.451
173.252.67.9,3.349
31.13.71.36,3.650,3.316,3.190
